#
# The Tor Project
#
# URL: https://metrics.torproject.org/webstats-tb-locale.csv?start=2021-12-27&end=2022-05-28
#
date,locale,initial_downloads,update_pings
2022-02-10,fa,89,179
2022-02-10,fr,1831,22135
2022-02-10,it,750,9836
2022-02-10,ko,172,817
2022-02-10,nl,178,883
2022-02-10,pl,292,2579
2022-02-10,ru,3613,147620
2022-02-10,tr,255,3221
2022-02-10,vi,83,37
2022-02-10,zh-CN,1467,4752
2022-02-10,??,71,1010
2022-02-10,ja,383,4048
2022-02-10,my,88,0
2022-02-10,pt-BR,1208,5797
2022-02-10,th,86,6
2022-02-10,da,107,176
2022-02-10,he,81,63
2022-02-10,sv-SE,115,318
2022-02-10,zh-TW,3736,29693
2022-02-10,ca,135,351
2022-02-10,ga-IE,83,2
2022-02-10,id,84,65
2022-02-10,is,80,30
2022-02-10,nb-NO,90,72
2022-02-10,cs,149,593
2022-02-10,el,118,127
2022-02-10,hu,247,480
2022-02-10,ka,87,3
2022-02-10,es-AR,224,482
2022-02-10,ro,109,75
2022-02-10,mk,78,4
2022-02-10,lt,90,24
2022-02-10,ms,78,9
2022-02-11,ar,111,739
2022-02-11,de,4254,85036
2022-02-11,en-US,57310,733762
2022-02-11,es-ES,2488,21144
2022-02-11,fa,62,157
2022-02-11,fr,1618,21442
2022-02-11,it,732,9814
2022-02-11,ko,141,936
2022-02-11,nl,160,905
2022-02-11,pl,230,2558
2022-02-11,ru,3463,148932
2022-02-11,tr,264,3294
2022-02-11,vi,63,55
2022-02-11,zh-CN,1400,4746
2022-02-11,??,68,820
2022-02-11,ja,236,4089
2022-02-11,my,65,0
2022-02-11,pt-BR,1246,5702
2022-02-11,th,63,11
2022-02-11,da,78,159
2022-02-11,he,66,35
2022-02-11,sv-SE,101,304
2022-02-11,zh-TW,3424,29715
2022-02-11,ca,81,364
2022-02-11,ga-IE,54,3
2022-02-11,id,69,74
2022-02-11,is,77,25
2022-02-11,nb-NO,68,74
2022-02-11,cs,122,655
2022-02-11,el,65,121
2022-02-11,hu,194,455
2022-02-11,ka,63,6
2022-02-11,es-AR,169,501
2022-02-11,ro,76,67
2022-02-11,mk,61,3
2022-02-11,lt,73,17
2022-02-11,ms,63,13
2022-02-12,ar,127,766
2022-02-12,de,3892,79746
2022-02-12,en-US,56826,724358
2022-02-12,es-ES,2323,20870
2022-02-12,fa,83,193
2022-02-12,fr,1617,20744
2022-02-12,it,773,9983
2022-02-12,ko,136,855
2022-02-12,nl,133,824
2022-02-12,pl,218,2325
2022-02-12,ru,4658,148130
2022-02-12,tr,286,3467
2022-02-12,vi,80,45
2022-02-12,zh-CN,1376,4415
2022-02-12,??,16,888
2022-02-12,ja,204,4111
2022-02-12,my,72,0
2022-02-12,pt-BR,1113,5417
2022-02-12,th,82,12
2022-02-12,da,94,168
2022-02-12,he,80,32
2022-02-12,sv-SE,111,300
2022-02-12,zh-TW,2987,29249
2022-02-12,ca,131,326
2022-02-12,ga-IE,73,1
2022-02-12,id,85,58
2022-02-12,is,82,30
2022-02-12,nb-NO,81,79
2022-02-12,cs,137,559
2022-02-12,el,100,132
2022-02-12,hu,235,449
2022-02-12,ka,88,6
2022-02-12,es-AR,192,484
2022-02-12,ro,85,65
2022-02-12,mk,79,1
2022-02-12,lt,82,20
2022-02-12,ms,77,1
2022-02-13,ar,108,663
2022-02-13,de,3780,83594
2022-02-13,en-US,55398,726659
2022-02-13,es-ES,2349,21383
2022-02-13,fa,60,185
2022-02-13,fr,1490,21717
2022-02-13,it,668,10097
2022-02-13,ko,116,859
2022-02-13,nl,87,851
2022-02-13,pl,242,2538
2022-02-13,ru,3169,144468
2022-02-13,tr,287,3594
2022-02-13,vi,59,39
2022-02-13,zh-CN,1265,4680
2022-02-13,??,47,615
2022-02-13,ja,225,4200
2022-02-13,my,54,1
2022-02-13,pt-BR,1103,5438
2022-02-13,th,68,15
2022-02-13,da,81,223
2022-02-13,he,57,58
2022-02-13,sv-SE,87,311
2022-02-13,zh-TW,3032,29643
2022-02-13,ca,106,385
2022-02-13,ga-IE,57,7
2022-02-13,id,75,53
2022-02-13,is,58,24
2022-02-13,nb-NO,60,87
2022-02-13,cs,125,610
2022-02-13,el,89,127
2022-02-13,hu,221,436
2022-02-13,ka,77,4
2022-02-13,es-AR,170,468
2022-02-13,ro,65,53
2022-02-13,mk,60,4
2022-02-13,lt,56,15
2022-02-13,ms,58,6
2022-02-14,ar,93,718
2022-02-14,de,3328,83536
2022-02-14,en-US,53241,733746
2022-02-14,es-ES,2435,20854
2022-02-14,fa,107,172
2022-02-14,fr,1459,22162
2022-02-14,it,627,9852
2022-02-14,ko,98,842
2022-02-14,nl,146,924
2022-02-14,pl,158,2359
2022-02-14,ru,2979,142847
2022-02-14,tr,198,3136
2022-02-14,vi,55,58
2022-02-14,zh-CN,1058,4383
2022-02-14,??,47,691
2022-02-14,ja,169,3902
2022-02-14,my,52,0
2022-02-14,pt-BR,1089,5748
2022-02-14,th,59,12
2022-02-14,ru-RU,0,1
2022-02-14,da,75,172
2022-02-14,he,50,47
